X_centroid,Y_centroid,phenotype,cell_region,Cell Area,Nucleus Area,CD20,CD21,CD23,CD35,BCL6,Ki67,CD3e,CD4,CD8a,FOXP3,PD1,CXCR5,CD68,CD163,CD11c,HLADR,CD138,CD56,MPO,CD31,CD34,PDPN,LYVE1,SMA,Vimentin
1002.03,1014.67,Tingible-body macrophage,core,77.29,43.2,0.061,1.189,0.683,0.469,1.132,0.211,0.664,0.971,0.714,0.708,0.631,0.446,1.361,4.511,1.224,0.399,0.102,1.177,0.755,1.005,0.733,1.233,1.298,0.676,1.262
990.74,1011.23,CD4 T cell,core,107.61,23.77,0.786,0.246,0.153,0.907,0.04,1.384,1.499,4.763,0.25,1.259,1.292,0.919,0.859,1.18,0.503,1.106,0.317,0.666,1.342,0.592,0.808,0.589,0.52,0.044,1.123
966.28,1042.09,Tfh cell,core,86.85,41.76,0.871,0.668,1.197,0.794,0.147,0.665,0.964,1.388,0.482,0.99,2.318,0.713,1.378,0.784,0.492,0.631,0.68,0.868,1.431,1.317,0.187,0.858,1.437,1.127,0.043
984.24,964.49,FDC,core,36.07,38.44,1.142,2.416,0.623,0.522,1.441,0.44,0.16,0.942,1.415,0.759,0.86,0.903,1.002,0.303,0.07,0.696,0.209,0.876,1.184,0.846,0.226,0.326,0.386,1.305,1.023
958.5,998.93,Mantle B cell,core,92.8,10.82,2.679,1.088,1.099,1.41,0.934,0.508,0.806,1.152,1.423,0.633,1.383,0.898,0.459,1.015,1.484,1.319,1.298,1.065,1.037,0.512,0.968,0.896,0.649,1.468,0.25
959.47,998.01,FDC,core,56.26,22.22,0.612,4.4,0.706,0.484,0.776,0.651,0.63,0.074,1.227,0.244,1.109,0.564,0.35,0.334,0.442,0.125,1.114,1.288,0.561,0.569,0.569,1.011,1.383,1.488,1.17
931.05,1028.19,FDC,core,84.25,17.69,0.768,2.746,0.61,1.34,1.053,0.272,1.104,0.09,0.064,0.467,1.358,1.118,0.999,0.069,1.064,0.982,1.07,0.361,1.159,0.469,0.336,1.05,0.056,1.191,1.457
971.34,966.66,CD4 T cell,core,48.22,13.16,0.896,0.935,1.237,0.599,0.439,0.778,0.241,2.557,0.366,0.903,1.337,1.314,1.304,0.015,1.291,0.954,0.342,0.633,1.48,1.471,0.806,1.237,0.159,0.731,0.085
968.5,997.47,Tfh cell,core,76.4,25.86,0.233,1.11,0.342,0.264,0.919,0.885,0.874,1.169,1.087,1.263,4.853,0.041,0.58,0.537,0.765,1.171,0.935,1.126,0.173,1.36,0.514,0.864,1.413,1.195,1.008
938.18,986.0,Tfh cell,core,100.86,34.7,0.616,1.205,0.644,1.202,0.693,0.616,1.48,0.532,0.358,0.653,4.157,0.483,0.512,0.925,1.147,1.212,0.771,0.867,0.858,1.109,1.109,0.387,1.339,0.642,1.072
