X_centroid,Y_centroid,phenotype,cell_region,Cell Area,Nucleus Area,CD20,CD21,CD23,CD35,BCL6,Ki67,CD3e,CD4,CD8a,FOXP3,PD1,CXCR5,CD68,CD163,CD11c,HLADR,CD138,CD56,MPO,CD31,CD34,PDPN,LYVE1,SMA,Vimentin
448.8,1036.34,CD4 T cell,core,80.15,31.37,0.245,0.759,1.273,0.59,0.128,0.283,1.015,2.601,0.713,0.595,0.148,1.066,1.297,1.392,0.237,0.401,1.302,0.392,1.135,0.844,1.272,1.354,0.655,0.363,0.177
442.45,1047.37,Tfh cell,core,84.34,24.71,0.129,0.123,0.804,0.097,0.834,0.486,0.248,0.462,0.606,1.196,3.237,1.441,0.897,0.486,1.294,1.224,1.296,1.483,0.036,1.144,1.224,0.137,1.149,1.335,0.337
459.28,1019.53,B cell,core,87.99,29.43,2.952,0.671,0.839,0.695,1.348,1.235,0.799,0.374,0.164,1.437,0.026,1.181,0.908,1.131,0.886,0.341,0.003,0.938,0.678,0.822,1.227,0.343,0.1,0.51,1.39
440.34,1015.37,B cell,core,118.56,13.98,4.952,1.12,0.285,0.814,0.454,0.089,0.461,1.006,1.488,0.468,0.026,0.632,0.039,0.157,1.489,1.098,0.979,0.33,0.239,0.78,0.081,0.356,0.519,0.924,0.91
417.59,1008.83,Tfh cell,core,65.11,36.77,0.907,0.393,0.682,0.833,0.957,1.158,1.474,0.849,0.107,0.46,3.632,1.228,1.401,0.322,0.686,1.171,0.483,0.757,0.29,0.529,0.367,1.48,0.446,0.225,0.875
400.18,1000.73,B cell,core,59.95,24.4,4.433,1.09,0.34,0.591,1.398,1.14,1.439,1.416,0.771,0.336,0.972,0.034,1.464,0.156,0.568,0.88,0.64,1.256,0.001,0.199,1.392,0.891,0.795,1.151,1.164
417.21,1014.63,Tingible-body macrophage,core,89.49,38.26,0.136,0.645,0.263,1.225,1.243,0.188,0.834,1.302,1.411,0.129,0.67,1.39,0.065,2.637,1.227,0.213,0.7,1.104,0.093,0.641,0.323,0.633,1.459,0.286,0.423
422.44,1006.74,B cell,core,91.09,35.74,2.601,1.397,0.239,0.742,0.219,1.099,1.017,1.427,0.963,0.982,0.501,1.43,0.265,0.788,1.051,1.273,0.578,1.457,0.961,1.127,1.103,1.085,0.989,1.081,0.462
387.21,1018.87,Tingible-body macrophage,core,48.65,22.63,0.568,0.121,0.62,0.644,1.457,0.701,1.367,1.093,1.444,1.34,0.421,0.629,0.124,2.372,0.802,0.517,0.296,1.357,0.715,1.295,1.449,0.806,0.746,0.321,1.25
434.08,1023.83,CD4 T cell,core,55.91,14.58,0.815,1.431,0.632,0.276,0.218,0.709,0.278,2.013,1.302,0.711,0.083,0.682,0.605,0.945,1.114,0.23,1.343,1.285,0.714,0.729,0.136,1.27,1.105,0.568,0.448
451.63,1041.16,Tingible-body macrophage,core,63.03,30.63,0.484,0.57,1.265,0.282,0.148,1.307,0.688,0.544,0.966,1.045,0.63,0.374,0.739,3.122,0.655,0.094,0.379,0.309,0.512,0.109,0.539,0.205,0.773,1.012,0.065
428.87,1021.66,Tfh cell,core,112.78,26.66,1.352,1.408,0.049,1.339,0.668,0.802,1.351,0.171,0.404,1.095,4.48,1.226,1.388,0.797,0.208,0.911,0.576,0.1,0.039,0.519,0.04,1.423,0.75,0.523,1.447
404.69,1049.99,Tfh cell,core,68.43,43.2,0.496,0.968,0.88,1.174,0.5,0.578,0.918,0.357,0.107,1.36,3.273,0.86,0.79,0.999,0.586,1.056,0.75,0.214,1.227,0.331,1.088,0.05,0.8,0.438,0.707
392.52,1039.44,FDC,core,65.25,33.94,0.836,2.199,1.1,1.174,0.575,1.101,1.118,1.283,1.25,0.003,0.5,0.369,0.167,0.445,0.217,0.037,0.683,0.282,0.838,1.321,0.581,1.366,0.635,0.35,0.039
413.39,1010.2,CD4 T cell,core,75.32,31.5,0.787,1.428,1.255,1.075,0.475,1.316,1.134,4.509,0.98,1.21,0.816,0.529,1.207,0.188,0.864,1.265,1.164,0.302,0.618,0.941,0.122,0.536,1.006,0.7,0.093
420.71,1017.76,Tfh cell,core,82.91,15.21,0.1,0.821,1.366,1.435,1.416,0.272,0.034,0.006,1.185,0.446,4.617,1.216,1.223,0.697,1.338,1.355,0.615,1.107,0.606,0.019,0.327,0.46,0.462,0.689,0.77
409.44,1034.04,GC B cell,core,75.3,24.85,1.058,1.145,0.925,0.714,4.516,0.658,1.116,1.08,0.435,0.696,0.397,0.602,1.475,1.023,0.828,0.474,0.064,0.97,1.302,1.488,0.161,0.201,0.639,1.212,0.362
