X_centroid,Y_centroid,phenotype,cell_region,Cell Area,Nucleus Area,CD20,CD21,CD23,CD35,BCL6,Ki67,CD3e,CD4,CD8a,FOXP3,PD1,CXCR5,CD68,CD163,CD11c,HLADR,CD138,CD56,MPO,CD31,CD34,PDPN,LYVE1,SMA,Vimentin
1543.55,1049.3,CD4 T cell,core,119.25,29.97,0.952,1.469,1.008,0.436,1.061,0.5,0.53,2.324,0.121,0.278,1.003,0.778,0.596,0.916,0.477,0.493,0.915,1.123,1.108,0.83,1.468,1.486,1.395,0.444,1.113
1607.62,1022.06,FDC,core,34.28,24.12,1.022,3.024,0.669,1.215,1.174,1.134,0.567,0.524,0.988,0.143,1.014,1.032,1.151,0.369,0.514,0.364,0.66,0.956,0.683,1.32,0.878,1.193,1.443,1.194,0.324
1575.65,1026.42,Tfh cell,core,111.48,38.26,0.565,0.305,1.232,0.591,0.029,0.667,0.55,0.271,1.051,0.622,3.807,0.921,1.434,0.506,0.058,0.275,1.135,0.292,0.89,0.17,1.283,0.578,0.438,1.334,1.055
1668.14,1021.52,GC B cell,core,44.53,32.42,1.091,0.451,0.445,0.635,2.124,1.267,0.4,0.954,0.217,0.146,0.028,0.73,0.625,1.08,0.648,0.761,0.853,0.218,0.563,1.25,1.482,0.731,0.467,1.28,0.821
1627.69,1046.1,Mantle B cell,core,113.4,35.55,3.21,0.777,0.681,1.202,0.786,1.256,0.018,1.265,0.249,0.328,0.851,1.025,0.244,1.192,0.721,1.126,0.537,0.536,0.801,0.989,1.154,0.504,0.928,0.385,1.054
1642.14,1040.29,CD4 T cell,core,34.47,43.25,0.486,0.315,1.052,1.28,0.667,0.747,0.5,2.746,1.479,0.678,0.675,0.285,0.428,0.589,0.621,0.25,0.539,0.091,0.423,0.984,1.361,0.326,1.05,0.345,1.424
1589.85,1030.96,B cell,core,37.24,25.28,3.753,1.267,0.591,0.688,0.977,0.034,1.361,1.069,0.887,0.536,1.455,0.112,0.008,0.891,1.015,0.226,1.267,0.655,0.504,1.073,0.612,0.244,0.645,0.058,0.464
1596.15,1018.25,Tfh cell,core,39.31,22.02,0.069,0.78,0.96,0.004,0.852,1.294,0.066,0.89,0.481,0.215,3.547,0.467,1.27,1.353,0.375,1.309,1.364,0.003,1.325,0.953,0.006,0.792,1.284,1.276,1.334
1584.73,1063.36,Mantle B cell,core,101.53,25.34,3.42,0.836,0.463,0.698,0.961,1.225,0.062,0.678,0.487,0.944,1.079,1.069,0.235,0.222,1.297,0.468,1.045,0.026,0.896,0.349,1.002,0.124,1.325,1.031,0.935
1579.55,994.84,FDC,core,82.69,33.06,0.691,4.045,0.962,0.132,0.049,0.261,0.939,0.459,0.369,1.309,0.017,1.232,0.523,1.213,0.435,0.776,0.213,0.416,0.969,1.018,0.255,0.959,1.467,0.907,0.42
