X_centroid,Y_centroid,phenotype,cell_region,Cell Area,Nucleus Area,CD20,CD21,CD23,CD35,BCL6,Ki67,CD3e,CD4,CD8a,FOXP3,PD1,CXCR5,CD68,CD163,CD11c,HLADR,CD138,CD56,MPO,CD31,CD34,PDPN,LYVE1,SMA,Vimentin
1609.03,1004.05,CD4 T cell,core,62.37,30.12,0.72,0.573,1.102,0.114,0.613,0.842,1.08,2.419,0.404,1.359,1.005,0.865,0.975,0.721,1.332,0.109,0.882,0.908,0.835,0.644,0.919,0.097,0.39,0.005,1.115
1587.89,1032.99,GC B cell,core,59.39,35.88,0.819,0.23,1.437,1.25,3.229,1.178,1.428,1.104,1.006,1.133,1.227,0.529,0.644,0.422,0.523,0.141,1.451,1.009,0.161,1.488,0.397,1.216,1.031,1.39,1.288
1592.34,1024.4,FDC,core,76.36,18.68,1.163,4.936,0.898,1.222,0.598,1.391,0.434,0.532,1.113,0.755,0.701,1.266,0.044,0.477,1.141,0.425,0.355,1.339,0.897,0.288,0.613,1.192,0.372,0.839,0.405
1626.68,1035.97,Mantle B cell,core,45.91,21.57,3.579,1.365,0.692,0.555,1.394,0.451,1.1,1.43,1.237,0.314,0.318,1.218,1.171,0.629,0.963,1.124,1.403,1.406,0.922,0.996,0.678,0.62,1.258,1.317,0.456
1607.02,1003.86,Mantle B cell,core,94.92,16.16,2.511,1.165,0.779,0.126,0.082,0.926,0.327,0.872,0.187,0.034,1.262,0.141,0.179,0.229,0.76,0.389,0.652,0.491,0.772,0.983,1.133,0.84,0.83,1.2,0.42
1612.25,1011.98,CD4 T cell,core,59.86,26.85,1.221,1.014,0.541,0.759,1.322,1.368,0.362,4.464,0.675,0.488,0.5,0.309,1.31,0.675,1.426,0.767,0.339,0.662,0.268,0.929,1.133,1.398,0.601,1.127,0.763
1617.07,1045.38,GC B cell,core,94.79,25.64,0.28,0.697,1.196,0.228,3.151,0.074,0.542,1.325,1.005,0.978,1.064,0.197,1.316,0.565,0.3,1.483,0.888,0.204,0.356,0.152,1.397,0.898,1.08,0.468,0.348
1583.22,1039.47,CD4 T cell,core,93.82,27.6,1.399,1.125,1.177,1.163,0.468,1.215,0.551,2.836,0.821,1.052,0.571,0.178,1.277,0.265,0.93,0.922,1.256,0.394,0.608,0.427,0.174,0.342,0.859,0.437,0.089
1608.96,999.03,Tfh cell,core,65.11,33.24,0.893,1.365,1.235,0.152,0.563,1.362,0.101,0.201,1.064,0.266,3.09,0.605,0.75,0.35,1.263,0.011,1.469,1.064,0.079,0.508,0.665,1.041,0.973,0.962,0.81
1602.13,965.44,GC B cell,core,112.5,22.19,0.324,1.283,1.145,0.901,4.719,0.194,0.449,1.225,0.56,0.043,0.945,0.394,1.3,0.097,0.362,1.269,1.194,0.309,0.977,0.887,0.083,0.388,0.646,0.59,0.861
1593.92,984.67,Mantle B cell,core,117.4,14.26,2.021,0.782,0.897,0.245,0.58,1.118,0.778,1.273,1.037,0.905,1.044,0.374,0.295,0.525,0.47,1.364,0.246,0.484,1.359,1.498,1.362,0.361,0.848,0.37,0.989
1616.35,1005.88,Tingible-body macrophage,core,35.47,14.67,0.015,0.995,0.329,0.221,0.344,1.48,0.214,0.566,0.22,0.019,0.634,1.35,1.036,2.078,0.48,0.37,0.655,1.386,1.488,0.355,0.804,0.418,0.18,1.34,1.372
1626.2,1003.89,Mantle B cell,core,94.13,21.41,4.885,1.405,1.095,0.073,0.073,1.244,0.307,1.013,0.968,0.085,0.646,1.194,1.352,0.473,0.499,1.426,0.418,0.871,0.94,0.007,0.409,0.806,0.253,0.43,1.077
1624.01,1024.91,B cell,core,51.79,12.25,2.252,0.584,0.903,0.189,0.95,0.168,0.864,0.51,1.261,1.07,0.467,1.063,0.336,1.198,1.285,0.994,1.37,0.706,0.063,0.987,0.398,1.411,0.118,0.366,0.209
1609.99,1012.03,CD4 T cell,core,95.65,14.73,0.448,1.464,0.374,0.272,1.088,0.479,0.15,2.104,1.054,0.505,1.011,0.895,0.177,0.146,0.945,1.117,0.777,0.338,0.075,0.13,1.41,0.162,0.929,1.12,0.342
1613.6,1009.37,Tfh cell,core,44.13,31.4,0.696,0.776,0.551,0.215,0.222,0.713,0.571,0.877,0.658,0.474,2.33,1.276,0.744,1.222,0.921,1.025,0.176,0.187,0.916,1.153,0.38,1.353,0.612,0.32,0.718
1618.61,1001.74,Tingible-body macrophage,core,74.58,39.21,1.358,0.322,1.212,1.288,0.347,0.813,1.107,1.277,0.466,0.287,1.074,1.25,1.302,3.877,0.777,0.523,0.387,0.738,1.321,1.25,0.555,0.615,1.386,1.274,1.365
1587.21,1025.57,Tingible-body macrophage,core,76.52,44.34,0.212,0.533,1.309,0.291,0.669,0.087,0.606,1.318,0.907,1.285,1.194,0.395,0.77,4.953,1.096,0.571,0.866,1.456,0.477,1.219,1.326,1.472,0.169,0.257,0.187
1632.81,1017.36,Mantle B cell,core,104.8,34.73,2.482,1.21,0.752,1.301,1.237,0.986,1.268,1.329,0.319,0.742,1.263,0.87,1.103,0.324,0.629,0.347,0.747,0.996,0.119,1.274,0.82,1.476,1.156,0.688,0.004
1631.19,998.6,B cell,core,61.15,37.11,4.703,0.055,0.813,0.883,1.185,1.374,0.37,0.593,1.494,1.11,0.588,1.226,0.164,1.487,0.556,1.245,1.179,0.27,0.403,0.916,0.057,0.634,1.378,0.37,0.358
