X_centroid,Y_centroid,phenotype,cell_region,Cell Area,Nucleus Area,CD20,CD21,CD23,CD35,BCL6,Ki67,CD3e,CD4,CD8a,FOXP3,PD1,CXCR5,CD68,CD163,CD11c,HLADR,CD138,CD56,MPO,CD31,CD34,PDPN,LYVE1,SMA,Vimentin
966.72,1057.93,FDC,core,33.03,34.43,0.618,2.963,0.009,1.456,1.349,1.284,0.74,0.688,0.831,1.257,0.824,1.19,0.656,0.057,0.493,0.247,0.653,0.361,1.356,0.517,1.42,0.367,0.891,0.478,1.06
1046.26,1025.92,Tingible-body macrophage,core,84.38,23.55,1.13,0.323,1.378,0.488,1.133,0.177,1.142,0.932,1.106,0.898,0.935,0.674,1.163,3.982,0.728,1.371,1.032,0.97,0.873,0.546,1.142,1.435,0.086,1.415,0.417
1003.25,1010.41,Tingible-body macrophage,core,38.27,23.54,0.641,0.573,0.497,1.369,0.639,0.014,0.107,0.15,0.659,0.024,0.051,1.226,0.404,3.989,0.17,0.073,0.696,0.355,0.861,1.119,0.644,0.623,1.334,1.215,1.487
989.57,1003.02,B cell,core,108.09,41.84,2.502,0.847,0.931,1.083,0.313,1.002,0.297,0.152,0.455,1.405,0.478,0.786,0.745,0.29,1.101,0.191,0.428,0.85,0.55,0.625,0.125,0.071,1.324,0.998,1.177
972.9,952.88,FDC,core,108.0,29.08,1.242,3.874,1.378,1.433,0.75,1.394,0.536,0.961,1.044,0.827,0.692,0.555,0.739,1.378,1.267,0.639,0.299,0.704,0.992,1.494,0.271,0.074,1.202,0.895,0.929
966.29,1029.75,B cell,core,58.2,25.91,2.66,0.426,1.004,0.784,0.136,0.958,0.379,0.326,0.192,0.081,0.749,1.392,0.025,0.446,1.466,1.254,1.151,0.615,1.085,0.638,0.532,0.7,1.329,0.455,0.169
935.06,1029.39,CD4 T cell,core,66.08,38.18,1.355,0.478,0.592,1.126,0.219,1.317,0.596,2.426,0.59,0.828,0.287,0.687,1.013,0.558,0.073,0.203,1.303,0.643,0.973,1.483,0.905,0.283,0.181,1.405,1.175
963.61,1026.19,CD4 T cell,core,33.69,44.47,0.459,1.007,1.289,1.108,0.453,0.321,0.928,2.983,1.316,0.326,0.746,0.046,0.8,1.38,1.434,0.744,1.073,0.903,0.745,1.266,0.946,1.247,0.894,1.408,1.454
976.31,1004.42,Tingible-body macrophage,core,93.51,26.28,0.93,1.036,0.839,0.627,0.184,0.113,0.834,0.996,1.005,1.391,1.189,1.392,1.234,2.707,0.815,0.042,0.377,0.385,1.407,0.819,0.037,1.074,1.254,1.476,0.224
962.37,967.77,FDC,core,100.16,40.6,0.853,2.583,1.499,1.118,0.317,0.785,0.725,0.771,1.288,0.084,0.24,0.359,0.863,0.364,1.011,1.161,0.211,1.355,1.15,1.335,1.045,0.083,0.57,0.545,1.371
992.26,1002.58,GC B cell,core,89.23,26.29,1.315,0.884,0.896,0.844,3.691,0.292,0.103,0.295,0.808,1.465,0.161,0.514,0.889,0.419,0.542,0.307,1.165,0.671,0.021,1.118,0.833,1.085,0.067,1.155,0.691
971.74,987.81,CD4 T cell,core,47.12,26.09,0.748,1.15,0.253,0.381,0.032,0.254,0.791,4.725,1.216,0.182,0.761,0.695,0.064,0.493,0.433,1.429,1.027,1.464,0.163,0.459,0.665,1.055,0.598,1.365,0.935
956.27,1046.0,CD4 T cell,core,79.05,34.86,0.989,1.105,1.09,1.012,0.918,1.494,0.892,4.862,0.104,0.055,0.549,0.733,0.985,0.315,0.969,0.18,0.719,1.216,0.962,0.309,0.804,0.296,0.242,0.124,1.172
978.28,1039.07,Mantle B cell,core,76.51,23.1,3.181,0.824,0.533,1.091,1.387,1.138,0.546,1.116,0.463,1.486,0.973,1.302,0.533,0.559,0.132,0.386,0.619,0.246,0.434,0.913,0.072,1.398,0.959,0.317,0.937
985.68,982.93,FDC,core,78.06,18.78,0.653,4.828,0.168,0.273,1.275,1.193,0.415,1.102,0.327,0.877,0.877,1.331,0.01,0.155,0.327,1.388,0.326,0.166,0.211,0.28,0.454,1.085,1.045,0.602,0.385
961.28,992.33,B cell,core,43.52,32.16,4.464,0.948,1.052,0.747,1.195,0.947,0.342,1.444,0.275,1.42,0.531,0.75,1.342,0.166,1.38,0.573,0.291,0.616,0.094,1.389,1.324,1.161,0.122,1.022,0.263
933.84,980.51,B cell,core,76.63,31.33,4.663,0.793,1.131,0.534,0.071,0.173,0.922,0.933,0.348,0.789,0.629,1.222,0.911,0.708,0.432,1.076,1.447,0.654,0.42,1.091,1.097,0.079,1.061,1.137,0.765
995.21,981.52,B cell,core,114.47,37.06,3.251,0.752,0.654,0.963,1.429,0.175,0.117,0.475,0.11,0.578,0.524,0.261,0.729,0.031,1.187,0.619,1.225,0.903,0.551,0.869,1.08,0.907,1.398,0.67,1.362
1029.89,1027.07,B cell,core,92.57,38.61,4.569,0.12,0.795,1.497,0.33,0.092,0.676,0.534,1.495,0.13,0.954,0.589,0.848,0.477,0.026,0.883,0.318,0.355,0.311,0.271,0.203,0.45,0.913,1.242,1.377
970.72,1018.96,Tingible-body macrophage,core,40.41,23.73,0.87,0.227,0.843,0.631,0.435,1.5,0.504,1.267,0.934,1.071,0.632,0.63,0.637,4.522,0.548,0.522,0.553,1.001,1.4,0.252,0.057,1.345,0.826,0.975,0.032
1003.04,1028.9,GC B cell,core,85.9,24.13,1.466,0.728,0.986,0.368,2.32,0.656,1.034,0.973,0.307,1.425,0.293,0.474,1.455,1.175,0.864,1.429,0.986,0.126,0.314,0.178,1.466,0.475,0.064,0.897,1.484
952.38,1067.9,Tingible-body macrophage,core,60.85,10.33,1.235,0.614,0.473,1.168,1.163,0.198,1.265,0.684,0.661,1.253,0.39,0.097,0.114,3.358,0.643,1.378,0.376,0.983,1.459,1.016,0.846,0.479,0.689,0.385,0.561
1015.41,981.05,B cell,core,83.59,19.62,3.392,1.027,0.044,0.378,1.255,0.32,0.113,0.083,0.663,0.895,0.654,1.299,0.706,0.08,1.464,0.508,0.647,1.185,1.051,0.697,1.036,1.069,0.204,0.7,1.017
962.44,1038.76,Tfh cell,core,102.18,30.86,0.103,1.01,1.413,1.499,0.176,1.161,0.564,0.904,0.341,0.292,4.307,1.157,0.388,0.928,1.39,1.122,0.469,1.087,1.075,0.246,0.891,1.248,1.108,0.532,0.373
985.14,1032.65,GC B cell,core,64.08,29.4,0.02,0.813,1.393,0.216,4.771,1.153,0.311,0.705,0.003,1.115,0.326,0.918,0.306,0.112,0.225,1.111,0.177,0.322,0.966,0.59,0.325,1.207,1.36,0.677,0.315
983.04,1010.85,Mantle B cell,core,86.79,39.23,2.304,0.006,0.566,0.932,0.872,1.278,0.812,0.408,0.255,1.084,0.849,0.441,1.011,0.682,0.564,0.376,0.6,1.443,1.301,0.916,0.402,0.957,1.362,0.464,0.833
947.07,1001.02,CD4 T cell,core,111.26,34.91,0.439,1.458,1.001,0.03,0.993,0.98,0.508,3.109,0.521,0.374,1.369,0.913,0.465,1.145,0.405,1.201,0.323,0.644,0.633,0.302,0.804,0.843,0.035,1.233,1.114
997.3,955.59,Tingible-body macrophage,core,107.47,35.32,1.306,0.899,0.755,0.555,0.43,1.47,0.623,1.38,1.177,1.338,0.744,0.932,0.516,4.194,0.091,1.472,1.215,0.693,1.208,0.193,0.174,0.886,1.22,0.609,1.403
987.27,1017.25,GC B cell,core,119.31,39.75,0.543,1.08,0.768,1.213,2.131,0.4,1.497,0.417,0.443,1.274,1.24,0.749,0.746,1.055,0.839,1.021,1.44,0.652,0.254,0.683,0.558,1.263,1.173,0.796,1.397
1019.72,1017.85,FDC,core,84.59,35.92,0.263,4.263,0.0,0.142,1.499,0.68,0.115,1.45,0.389,0.229,0.468,0.201,1.074,0.624,1.08,1.059,1.436,0.581,1.215,0.519,1.013,1.206,1.342,0.665,1.437
974.91,1017.73,GC B cell,core,61.04,44.29,1.077,0.851,1.281,1.325,3.578,1.341,0.544,0.038,0.671,0.277,1.189,1.019,1.382,0.767,0.15,0.211,0.397,1.133,0.533,1.488,0.973,0.79,1.424,0.445,0.708
1002.58,1030.96,FDC,core,89.01,20.0,1.484,2.217,1.275,1.063,0.919,0.537,0.387,0.164,0.806,1.113,0.125,1.374,0.743,0.806,0.18,0.297,0.942,0.544,0.637,0.797,0.74,1.246,0.717,1.256,1.375
989.37,1032.38,CD4 T cell,core,70.19,13.98,0.712,0.162,0.606,1.066,1.107,1.151,1.079,3.069,1.299,0.023,1.007,1.462,0.17,1.4,1.346,0.296,1.14,0.582,1.285,0.141,1.225,0.865,0.28,0.494,0.437
983.39,1008.75,CD4 T cell,core,83.18,25.56,1.458,0.16,1.256,0.027,1.325,0.802,0.944,4.006,0.223,1.472,1.258,0.304,0.426,1.084,0.255,1.362,0.816,0.806,0.093,1.235,1.457,1.103,0.706,0.114,0.42
968.36,1003.63,FDC,core,77.51,38.14,0.177,2.136,0.164,0.817,0.715,1.192,0.076,0.72,1.214,1.448,0.406,1.283,1.233,1.261,0.486,1.351,0.189,0.27,0.657,1.236,0.506,0.814,0.027,0.739,1.025
1020.19,957.03,Tingible-body macrophage,core,69.48,31.71,0.705,0.206,0.934,0.877,0.582,0.611,0.311,0.673,0.247,1.194,1.211,1.411,0.896,4.527,0.271,0.601,0.47,1.494,1.045,0.927,1.496,1.106,0.147,0.115,1.004
972.45,965.02,Mantle B cell,core,67.98,14.17,3.975,1.203,0.474,0.485,0.721,0.917,0.951,0.615,0.978,0.231,0.205,0.462,0.521,0.686,0.457,1.053,0.329,0.077,0.585,1.389,0.738,0.85,1.202,1.475,0.543
941.63,975.37,GC B cell,core,96.69,22.21,0.162,0.259,0.016,0.147,2.408,1.341,0.91,0.227,0.609,0.026,0.403,0.766,1.196,1.116,1.112,0.274,1.167,1.288,0.611,1.438,0.436,0.103,0.835,0.067,1.191
1013.38,987.77,Tingible-body macrophage,core,80.44,33.96,1.438,0.702,1.465,1.164,1.144,0.565,0.758,1.279,0.585,0.559,0.905,1.071,1.01,2.621,0.752,1.4,0.688,1.158,0.332,1.288,0.481,0.265,0.532,0.725,0.436
1014.41,1042.57,CD4 T cell,core,107.76,16.24,1.413,0.74,0.568,0.744,0.399,0.773,0.719,3.862,0.913,0.501,0.568,0.487,0.864,1.076,0.285,0.123,0.283,1.274,0.268,0.657,0.297,0.97,0.398,0.983,0.094
946.16,961.7,Tfh cell,core,71.74,31.71,1.393,0.643,0.802,0.051,0.636,0.878,0.721,0.217,1.274,0.398,3.584,0.286,1.384,1.002,0.729,1.019,0.158,1.235,0.256,0.658,1.298,1.322,0.178,1.063,0.033
992.39,1010.79,GC B cell,core,91.43,34.16,0.282,1.275,1.438,0.538,2.628,0.714,0.477,1.269,0.425,1.247,1.328,0.498,0.735,0.464,0.443,1.239,0.779,1.044,1.075,0.38,0.066,0.692,0.73,0.193,1.2
980.15,1000.25,Tingible-body macrophage,core,86.13,16.25,1.228,0.088,0.239,0.48,1.411,0.608,0.256,1.488,1.044,0.315,0.632,0.94,1.172,4.383,1.286,0.421,0.968,0.212,0.853,0.277,0.744,0.424,0.639,0.483,0.031
937.95,1025.95,Tfh cell,core,35.9,19.4,0.545,0.909,1.469,0.048,1.205,0.816,0.272,0.791,0.026,0.687,2.385,0.455,0.146,1.498,0.855,0.538,0.96,1.463,1.362,0.855,1.069,0.042,0.776,0.302,0.676
990.36,1066.68,Tfh cell,core,118.17,38.09,0.035,0.714,0.083,0.037,1.261,0.136,0.622,0.541,0.414,1.189,2.079,1.214,1.142,0.986,0.598,0.555,1.334,0.24,0.468,0.107,0.016,0.537,1.382,0.989,0.302
945.27,995.08,GC B cell,core,82.08,12.22,1.324,0.697,0.304,0.003,4.3,1.055,0.348,0.13,0.824,1.208,0.368,0.364,1.112,0.946,1.162,1.023,1.473,0.674,0.337,1.179,1.331,1.015,0.25,0.698,1.318
977.63,1034.36,FDC,core,81.95,22.02,0.571,4.122,0.886,0.847,0.11,0.209,0.036,0.546,0.105,0.765,0.671,0.378,0.806,0.352,0.609,1.007,0.643,1.402,0.311,0.938,1.213,0.357,0.077,0.792,0.213
982.75,1010.35,CD4 T cell,core,88.89,34.43,0.3,0.035,0.301,0.953,0.75,0.87,1.158,4.893,0.707,0.647,0.605,0.387,1.111,1.357,1.17,0.937,0.956,0.955,0.591,0.581,1.29,0.981,0.073,0.79,1.37
1015.7,1034.5,Tingible-body macrophage,core,49.33,17.68,1.4,0.758,1.06,0.547,1.381,0.043,1.38,0.065,0.48,1.348,0.099,0.206,0.892,3.965,0.188,1.467,1.126,0.628,0.176,0.43,0.161,0.948,0.003,0.051,0.11
949.64,1026.5,CD4 T cell,core,115.13,19.64,0.873,0.52,0.36,0.922,0.417,0.138,0.323,3.736,0.88,0.484,0.248,0.626,0.383,0.347,0.414,0.629,1.216,1.241,1.045,1.126,1.227,0.732,1.164,1.134,1.056
1001.21,1008.9,Tingible-body macrophage,core,45.88,31.87,0.128,1.438,0.56,1.036,1.034,0.634,0.713,0.75,1.314,0.715,1.083,0.89,0.282,2.864,1.105,1.239,0.18,0.502,1.383,0.947,1.37,0.71,0.932,1.139,0.135
1018.74,963.36,Mantle B cell,core,53.97,23.66,3.461,1.274,1.25,0.955,0.222,0.534,0.042,0.68,0.78,0.895,1.151,1.241,0.36,1.275,0.635,0.843,0.431,0.835,1.157,0.838,0.32,0.36,1.449,0.842,1.441
958.47,1039.4,Mantle B cell,core,47.87,13.77,4.618,0.353,0.718,0.849,0.285,0.776,0.509,1.049,0.225,0.268,1.005,1.35,1.143,1.318,0.011,1.408,1.216,0.209,1.497,0.16,0.42,1.352,0.067,1.019,0.754
954.55,962.25,Tfh cell,core,38.58,26.52,0.756,0.373,1.181,0.324,0.56,1.439,0.659,0.253,1.061,0.081,2.372,0.718,0.272,0.388,0.386,1.081,0.547,0.258,0.574,0.684,1.218,0.369,0.765,0.347,0.255
991.12,1033.88,Tingible-body macrophage,core,63.28,14.2,0.762,0.168,0.699,0.991,1.308,0.173,0.405,0.408,1.35,0.57,0.012,0.331,0.249,3.274,0.663,0.167,1.159,0.783,0.883,1.439,0.967,1.399,0.546,0.986,0.445
1044.0,1019.84,Tfh cell,core,75.65,30.03,0.014,0.094,0.033,1.487,0.774,0.854,1.111,1.435,0.483,1.016,3.308,1.231,0.915,0.835,0.46,0.987,0.732,0.558,0.719,0.809,0.629,1.322,0.722,0.512,0.386
973.01,1023.14,CD4 T cell,core,50.03,36.76,1.389,0.564,1.388,1.146,0.191,0.51,0.605,4.659,0.063,0.297,0.176,0.052,0.507,0.295,1.176,1.076,1.297,0.368,0.609,1.172,0.608,0.456,0.015,0.803,1.181
1022.07,1004.18,CD4 T cell,core,60.85,44.8,1.39,0.608,0.692,1.233,0.722,0.406,0.228,2.231,0.662,1.085,0.825,0.701,0.247,0.471,1.047,1.338,0.892,0.844,0.383,0.909,1.03,0.218,0.864,0.497,0.964
939.09,1004.1,Mantle B cell,core,42.02,36.15,4.209,0.756,1.17,0.946,0.8,1.35,0.722,0.313,1.064,1.404,0.662,0.389,0.453,1.01,0.86,1.306,0.021,0.786,1.039,0.352,1.0,0.496,0.876,0.815,1.347
