case_id,follicle_key,centroid_x_um,centroid_y_um,area_um2
0101,Follicle_1,431.78,422.05,13274.79
0101,Follicle_2,1003.4,439.42,5890.77
0101,Follicle_3,1628.17,407.93,7199.64
0101,Follicle_4,420.52,1020.98,19240.75
0101,Follicle_5,1037.85,1016.38,11733.44
0101,Follicle_6,1598.84,1017.93,18271.6
0102,Follicle_1,363.39,423.11,17645.6
0102,Follicle_2,969.19,381.8,19146.84
0102,Follicle_3,1624.51,429.45,13339.17
0102,Follicle_4,409.54,963.77,11730.13
0102,Follicle_5,965.76,1002.28,9712.47
0102,Follicle_6,1570.31,983.71,18451.47
0103,Follicle_1,418.39,383.79,9290.47
0103,Follicle_2,1037.23,393.36,7470.59
0103,Follicle_3,1593.06,429.99,16125.6
0103,Follicle_4,437.95,1016.27,18927.77
0103,Follicle_5,1005.61,967.14,18503.41
0103,Follicle_6,1592.45,994.73,11802.43
0104,Follicle_1,431.11,430.88,19986.21
0104,Follicle_2,1017.93,431.8,6675.11
0104,Follicle_3,1576.24,402.62,16100.22
0104,Follicle_4,416.43,1010.06,7203.08
0104,Follicle_5,982.83,1009.93,13947.33
0104,Follicle_6,1612.17,1007.33,7056.82
